ConversationID,occurredDate,conversationType,notesLength,emoticon,notes
4ffadf9be4b056530e606ad0,7/9/12 13:41,Client,861,,"Hello ,Welcome to Retrofit! I look forward to working with you over the coming months as your Program Advisor. I also have your Welcome Kit all set to be shipped. You should have received an email with a link to your Retrofit dashboard when you signed up, so when you have the time, please log in and get the items on your New Client Checklist started. Also by clicking """"View at Retrofit"""" to this email notification you will be directed straight to your Checklist as well.You and I need to get an Introduction call on the books. This call should last for about 30 minutes, and will be our chance to get to know one another, review the details of the program, set up some expectations, and have a look at the timeline. Please send me some times that you have available for this week or next week.I look forward to working with you,"
4ffdcb1ee4b056530e607bde,7/11/12 18:51,Client,136,,"Hi It was great talking with you today. Here is the link to download the Retrofit cookbook.http://www.retrofitme.com/recipes"
4ffe181fe4b056530e607d6f,7/12/12 0:19,Client,49,,Got my devices tonight.  Will be setting them up.
4ffecfede4b056530e607fe1,7/12/12 13:23,Client,74,,Weighed myself with new scale this morning.  My scale was off by 8 lbs :-(
4ffecfede4b056530e607fe1,7/12/12 13:23,Client,63,,", Is it on a hard surface? How do you know it was off?"
4ffed60be4b056530e60806d,7/12/12 13:50,Client,190,,"Sorry, I meant my personal scale was off by 8 lbs.  I've been weighing 180 on it pretty consistently. On the Withings I'm 188, which I assume is more accurate than my cheap Walmart scale :-)"
5000308de4b056530e50b97d,7/13/12 14:28,FoodLog,33,,Whoops!  Make that Thursday 11 pm
5000cd82e4b056530e6087f9,7/14/12 1:38,Client,95,,Just got back from the grocery store.  Going to try some food from the recipe book this weekend
500195e9e4b056530e60886b,7/14/12 15:53,Client,288,,"changed my fitbit to be more sensitive yesterday because I felt like it was not accurately registering how long it takes me to fall asleep.  I think that part is more accurate, but it also puts me awake for long periods of time in the middle of the night, which I don't think is accurate."
5002e494e4b056530e50bf7c,7/15/12 15:41,FoodLog,25,,and four pineapple chunks
5003368be4b056530e608c2f,7/15/12 21:30,Client,44,,changed my fitbit sensitivity back to normal
5003724de4b056530e608cfa,7/16/12 1:45,Client,56,,Forgot to wear my fitbit for about two hours tonight :-(
50043961e4b056530e608ed4,7/16/12 15:55,Client,911,,"Hello ,By way of this note, I would like to introduce you to your Wellness Expert team for the duration of your time in the Retrofit program. Please work together to get your initial Wellness Expert sessions scheduled with each expert as follows:Week of 7/16/2012 (current week)Registered Dietitian ()Week of 7/23/2012Behavior Coach ()Week of 7/30/2012Exercise Physiologist (): You can access each of their bio's and applicable contact information (Skype handle/email/phone) from your Retrofit dashboard.Team:  prefers her Skype sessions take place during-- Afternoons and evenings-- WeekendsPlease be sure to note your appointment times on the client dashboard once confirmed. Lastly, please request  as a contact on Skype so you can easily connect at your first session."
50044d7ae4b056530e608f7b,7/16/12 17:20,Client,179,,"Hi ,I am excited to get to work with you!  I can do any evening this week Wed-Friday....let me know what would work best for you.  I will email you as well.  Take care."
50045b4fe4b056530e608fc5,7/16/12 18:19,Client,88,,Yay!  I found a new Pilates studio in town that has lots of classes that I could attend.
50045b4fe4b056530e608fc5,7/16/12 18:19,Client,469,,"Well on that awesome note... Welcome to the Retrofit family! I am so excited to be on this journey with you! I will be your Exercise Physiologist for the duration of your program :)What does the week of the 30th look like for you? I am pretty much wide open in terms of evenings or first thing on weekend mornings. I am unavailable on Wednesdays. Please throw out some dates/times and Lets get us on the books!I so look forward to """"meeting"""" you! Happy Monday!"
50045b4fe4b056530e608fc5,7/16/12 18:19,Client,118,,"Here you go in order of preference: Monday the 30th at 6:30 pm; Mon, Tue, or Thur at 12:30 pm; Tue or Thur at 6:30 pm."
50045b4fe4b056530e608fc5,7/16/12 18:19,Client,45,,Monday at 6:30 is perfect! Setting us up now!
50045b4fe4b056530e608fc5,7/16/12 18:19,Client,33,,Great!  Looking forward to it :-)
5004c512e4b056530e609226,7/17/12 1:51,Client,163,,"Hi , I'm  and i'm excited to be your behavior coach!  I would be available to meet at any time on Sunday between 9AM and 9 PM other than 11 AM and 7PM"
5004c512e4b056530e609226,7/17/12 1:51,Client,57,,Hi .  Would that be Sunday the 29th?  How about 6 pm?
5004c512e4b056530e609226,7/17/12 1:51,Client,65,,"No, it would be Sunday the 22nd.  Does 6:00 PM work for you then?"
