occurredDate,notes
7/12/12 0:19,15 minutes gardening
7/13/12 0:34,I burned 74 calories at my bass guitar lesson :-)
7/13/12 23:13,"Rowing from 5 - 5:30, 5000 meters"
7/15/12 20:01,30 mins rowing
7/20/12 0:27,Had a private Pilates lesson this afternoon.  Will be going to group on Sundays and Wednesdays.
7/22/12 4:56,Lots of work around the house and in the yard today
7/23/12 1:37,"Had another Pilates class this afternoon.  Went shopping at the health food store in the same shopping center while hungry.  Usually a bad idea, but I didn't buy any junk"""""
7/25/12 19:54,Went to an 11 am Pilates class today.  Really like the instructor.  The group was mostly women around my age so the instructor was not pushing people as hard as in classes that are filled with 20-somethings.  It will be a good class to go to regularly once I retire.
7/28/12 23:19,Swam for 45 minutes this afternoon
7/30/12 0:20,Got a lot of exercise cleaning out our spare room attached to the garage.  A catchall for all kinds of hoarding :-)
7/31/12 22:50,"Went rowing this afternoon for 30 minutes - 5330 meters.  The good thing about rowing is that I'm not hungry afterwards, like swimming."
8/4/12 1:08,went swimming tonight 45 minutes
8/5/12 2:57,"Goal for today - reach 10,000 steps for first time.  Reached at 9:50 pm (thanks to KC and Sunshine Band """"Shake Your Booty"""" :-)"
8/5/12 20:45,Pilates 50 minute class this afternoon
8/8/12 14:40,Made my exercise goal yesterday :-)
8/9/12 15:24, -- My knee (the one with the tracking problem) has been pretty sore the last couple days.  Do you know if those knee straps that you wear below the knee are effective?
8/11/12 20:44,Been working in the yard today.  Probably sweated off a pound :-)
8/11/12 21:55,Have gone one week with daily steps of at least 5000.  Will shoot for 5500 daily this week.
8/12/12 20:52,Went to Pilates today!
8/15/12 2:59,Went rowing this afternoon.  A little over 5000 meters in 30 minutes :-)
8/16/12 14:13,"Signed up for a swim class at local community college.  It's really just a """"free swim"""" where you are guaranteed a lane.  Meets two nights a week for an hour.  I did this in the spring semester and it was great.  I just hope that it """"makes"""".  I signed up for the summer session but they had to cancel it."
8/17/12 19:52,Went swimming for 25 minutes tonight.  The hours changed this week and I thought I had a whole hour to swim :-(  I figure a little is better than none at all.
8/19/12 15:14,"Went to Pilates - nice workout, not too easy, not too hard"
8/19/12 15:16,Did some intense yard work including moving several gallons of landscaping rock from one part of the yard to another
8/25/12 0:17,"Walked from my house to Office Depot and back tonight.  Unheard of in Texas where everyone drives everywhere, even if it's two blocks away."
8/26/12 5:12,Went swimming for 40 minutes this afternoon and shooting this evening.
8/26/12 22:45,"Went to Pilates class. Think I've got some tendonitis in my elbow.  I lessened the resistance, but it still hurt."
8/28/12 15:45,afternoon - swim for 35 minutes
9/3/12 23:21,Went to the pool tonight.  Used the kickboard for 45 minutes of laps.
9/4/12 23:27,Received my exercises tonight from  and printed them out :-)  I have to go to Laredo and back tomorrow so will probably be home late.  Will look to start them Thursday.
9/7/12 2:58,Did arm and leg strengthening exercises tonight.  No problems :-)
9/7/12 17:23,Did my foot and balance exercises tonight (PT)
