occurredDate,notes
7/11/12 18:59,"Lunch - Salad w/lettuce, cabbage, olives, turkey strips, and 1/4 cup shredded cheddar.  Atkins bar, tea."
7/11/12 21:49,"330 snack - one mango, blueberries, pineapple"
7/11/12 22:11,diet cream soda
7/12/12 0:19,bowl of ground turkey stroganoff with whole wheat pasta.  Atkins bar
7/12/12 2:16,8 pm snack = 1/4 bag of popcorn
7/12/12 13:23,"11 pm snack - 2 oz cheese, 20 thin triscuit, 1/2 cup pudding"
7/12/12 14:14,Breakfast 830 am - 2 hardboiled eggs
7/12/12 17:59,"Lunch 12:30 pm -- salad, 1/2 Atkins bar, tea w/Stevia"
7/12/12 21:08,"Snack 4 pm - one cup cherries, iced tea"
7/13/12 0:33,Dinner 6 pm - turkey salad sandwich 4 oz on 15 grain bread
7/13/12 14:27,"Friday 11pm snack - bowl cranberry oatmeal, 10 multigrain saltines, 1 oz velveeta, 1/2 atkins bar"
7/13/12 14:29,Breakfast 915 am - 2 hardboiled eggs
7/13/12 15:48,midnight snack Friday velveeta 8 multigrain saltines
7/13/12 18:18,"Lunch 12:15 salad, 1/2 atkins bar, tea"
7/13/12 23:13,"Snack 4 pm - 1/2 cup tapioca, 1 cup cherries, 7 thin triscuit, diet soda"
7/13/12 23:52,"Dinner, 6:30 pm turkey salad sandwich"
7/14/12 4:19,"1030 pm snack bowl of pineapple and raspberries, 1/2 atkins bar"
7/14/12 16:31,"Breakfast 1115 am jam, ricotta, walnut on toast"
7/14/12 21:43,"lunch 430 pm granola, greek yogurt, berries"
7/15/12 1:31,snack 630 pm atkins bar
7/15/12 4:33,"dinner 9 pm portobella with spinach and mozzarella, 1/4 cup barley"
7/15/12 4:33,snack 11 pm 100 calorie bag of popcorn
7/15/12 15:43,"Breakfast 10:30 am - Ricotta, berry, honey on toast"
7/15/12 20:01,Lunch 3 pm - Hummus plate
7/15/12 23:42,snack 630 pm - yogurt with mango and coconut
7/16/12 1:46,"Dinner 830 pm portabello, zucchini, spinach, morarzella over barley, small green salad"
7/16/12 14:50,Sun snack 1130 pm wine and cheese
7/16/12 14:51,Monday breakfast/snack 930 am pineapple and walnuts
7/16/12 17:53,Lunch 12:15 pm salad
7/16/12 21:30,"Double snack 4:15 pm hardboiled egg, 1 cup cherries, Atkins bar, diet soda.  Counting this as a meal."
7/17/12 3:38,Dinner hummus plate
7/17/12 14:10,Monday snack 11:30 p - 100 cal bag of popcorn
7/17/12 14:20,Breakfast/snack 9:15 am yogurt w/mango and coconut
7/17/12 18:31,"Lunch 12:15 pm -- Taco salad:  greens; 5 oz mixture of ground turkey, mushrooms, black olives; 1/4 cup shredded cheese; oil and vinegar"
7/17/12 22:48,5:15 pm Double snack:  yogurt and berries and atkins bar
7/18/12 3:10,Dinner 8 pm Dressed up turkey wrap
7/18/12 14:14,"Tuesday 11 pm snack 4 multigrain crackers, 1 oz cheese"
7/18/12 14:14,Breakfast/snack 915 am - walnuts and mango
7/18/12 18:59,"Lunch noon - chef salad w/turkey, 1/4 c shredded cheese"
7/19/12 14:48,"For Wednesday --Snack 4pm - toast w/marmalade walnut spreadDinner 8 pm -- turkey wrapSnack 11 pm - 100 cal popcorn, diet pudding cup"
7/19/12 19:25,"Breakfast 10 am -- cinnamon raisin toast w/peanut butterLunch 215 pm Chef salad"
7/20/12 4:14,"Snack 5 pm 1/2 cup blueberries, 1 cup yogurtDinner 8 pm Hummus plateSnack 11 pm oatmeal, dried fruit"
7/20/12 22:03,"Had a challenging day for meals because I was working on the road, so I had to put some extra thought into it.Breakfast/snack 9:45 am 1/2 cup cherries, 1/2 cup yogurtLunch 11:45 am Subway turkey breast sandwich (no chips!)Snack 3:45 pm 2 hardboiled eggs and pistachios"
7/21/12 4:00,"Dinner 8 pm  2 oz whole wheat spaghetti, tomato sauce with mushrooms and black olives, small side salad"
7/21/12 4:05,Snack 11 pm 2 slices ezekiel bread 1 T peanut butter
7/22/12 4:56,"Breakfast 1030 am banana nut oatmealLunch 1 pm Grilled portabella burger, 1/2 cup blueberriesSnack 430 pm yogurt and pineappleDinner 830 pm Turkey, hummus, brie on pita, 1/4 cup pineappleSnack 1145 pm oatmeal and berries, 100 cal popcorn"
7/23/12 1:36,"Breadkfast/snack 1015 -- 1 slice cinn-raisin bread w/almond butte4rLunch 1230 -- Greek salad w/half pita and hummussnack 330 pm -- half whole grain fruit bar, 1/4 cup pineapple, 50 pistachios"
7/23/12 1:39,"Dinner 715 pm -- portabella burger on ezekiel toast, 1/2 cup raspberries and yogurt.Almost got up to clear my plate while still chewing the last bite.  Caught myself and sat back down until I was done."
7/23/12 14:37,Snack 1130 pm Ezekiel cin-raison toast w/ricotta and raspberries
7/23/12 16:07,Morning snack 9:45 am - 1/2 whole grain fruit bar and 1/2 banana
7/23/12 19:50,Lunch 1230 pm  Chef's salad.
7/23/12 21:03,Sanck 3:45 pm Atkins bar and 1/2 cup pineapple
7/24/12 1:26,Dinner 700 pm whole wheat spaghetti primavera
7/24/12 15:54,Monday night snack 11 pm popcorn and toast with ricotta cheese
7/24/12 15:55,Breakfast/snack 900 am - one cup cherries and 1/2 whole grain fruit bar.
7/24/12 18:33,"Lunch 1230 pm roast turkey on 1/2 pita w/spinach, cukes, olives, tzatziki"
7/25/12 3:58,"Snack 330 pm fruit, yogurt and atkins barDinner 730 pm mushrooms, zucchini, tomato over barleySnack 11 pm oatmeal with fruit and walnuts"
7/25/12 18:42,"Last night's dinner was on the run as I was travelling with a group of coworkers to an out of town event.  I brought a turkey sandwich and some cherries and pistachios with me to eat so I would not be tempted to buy junk food.  It worked out well because I ate on the way and when I got there, the hosts had furnished refreshments - large choc. chip cookies and sodas and I did not even go over to the table.  I got home late and had a bowl of oatmeal w/berries before bed (at 1:00 am!)"
7/25/12 18:43,"Today, I went into work late, so had a whole grain fruit bar snack about 10:30, then a salad and pita for lunch at 1230."
7/25/12 19:07,Breakfast 10 am -- cinn-raisin toast with ricotta
7/25/12 19:08,Lunch 1 pm -- turkey and hummus on whole wheat noon with tomatoes and olives
7/27/12 2:11,"Whoops!  I logged today's breakfast and lunch on yesterdays page.  For dinner I had whole wheat """"stroganoff"""" made with whole wheat pasta, ground turkey, mushrooms, and broccoli, with a tablespoon of sour cream."
7/27/12 18:37,"Busy morning.  I had to get up early to be in court in a neighboring county. I was careful to plan breakfast and lunch last night so that I wouldn't be tempted to grab something on the way out or stop and pick something up along the way.Breakfast 2 boiled eggs and a half whole grain fruit bar.Lunch - Pita with 1 T hummos, spinach, cucumber, and turkey.  Atkins bar."
7/28/12 16:22,"Friday afternoon snack 430 pm - banana, walnuts, and cherriesDinner turkey stroganoffEvening snack 100 cal popcorn, barley w/cranberries"
7/28/12 16:23,"Sat breakfast 11 am feta omelette, toast, and 1/4 avocado"
7/28/12 23:19,"Lunch at 2 pm portabella burgerPre swim snack 430 pm banana and 1 T almond butter"
7/29/12 15:11,"Saturdaypost swim snack of 1`/4 c granola and 1/4 almond milkdinner - the last of the turkey stroganoff :-)snack - 100 cal popcorn, mango and yogurt"
7/29/12 15:12,"Sunday Breakfast - 2 cinn-raisin toast, 2 T ricotta, 1/2 cup raspberries"
7/30/12 0:19,"Lunch 100 - whole wheat spaghetti with mushroom, zucchini, and tomato sauceSnack yogurt, mango, fruit barDinner 645 pm - turkey, hummus, spinach on pita with cukes and tomatoe"
