"day","value"
2012-07-11,48
2012-07-12,7076
2012-07-13,5924
2012-07-14,6410
2012-07-15,6109
2012-07-16,6403
2012-07-17,3052
2012-07-18,5842
2012-07-19,6462
2012-07-20,4698
2012-07-21,7464
2012-07-22,6516
2012-07-23,4014
2012-07-24,6661
2012-07-25,6684
2012-07-26,6799
2012-07-27,9456
2012-07-28,6075
2012-07-29,8429
2012-07-30,6385
2012-07-31,5256
2012-08-01,6078
2012-08-02,5296
2012-08-03,4788
2012-08-04,10555
2012-08-05,6687
2012-08-06,5698
2012-08-07,11107
2012-08-08,6799
2012-08-09,5351
2012-08-10,5215
2012-08-11,7307
2012-08-12,6036
2012-08-13,5903
2012-08-14,6256
2012-08-15,6951
2012-08-16,7090
2012-08-17,6493
2012-08-18,6148
2012-08-19,8363
2012-08-20,6252
2012-08-21,6930
2012-08-22,5778
2012-08-23,5630
2012-08-24,5420
2012-08-25,6215
2012-08-26,8040
2012-08-27,6639
2012-08-28,7281
2012-08-29,6173
2012-08-30,6685
2012-08-31,5761
2012-09-01,5616
2012-09-02,5616
2012-09-03,6025
2012-09-04,5730
2012-09-05,5541
2012-09-06,6021
2012-09-07,4987
2012-09-08,7155
2012-09-09,7280
2012-09-10,6097
2012-09-11,4908
2012-09-12,4188
2012-09-13,6573
2012-09-14,5873
2012-09-15,7031
2012-09-16,7344
2012-09-17,6621
2012-09-18,7004
2012-09-19,6701
2012-09-20,2661
2012-09-21,5388
2012-09-22,6582
2012-09-23,8197
2012-09-24,5726
2012-09-25,7445
2012-09-26,6139
2012-09-27,6978
2012-09-28,6974
2012-09-29,6262
2012-09-30,7971
2012-10-01,6782
2012-10-02,6721
2012-10-03,13011
2012-10-04,6642
2012-10-05,9486
2012-10-06,7876
2012-10-07,17474
2012-10-08,20463
2012-10-09,5487
2012-10-10,4661
2012-10-11,8958
2012-10-12,6040
2012-10-13,22698
2012-10-14,19028
2012-10-15,16186
2012-10-16,15961
2012-10-17,17361
2012-10-18,15405
2012-10-19,14503
2012-10-20,5235
2012-10-21,7050
2012-10-22,7734
2012-10-23,7825
2012-10-24,5261
2012-10-25,9257
2012-10-26,9932
2012-10-27,6482
2012-10-28,8054
2012-10-29,7430
2012-10-30,5980
2012-10-31,5600
2012-11-01,6587
2012-11-02,4869
2012-11-03,10113
2012-11-04,8147
2012-11-05,6836
2012-11-06,9684
2012-11-07,10082
2012-11-08,8244
2012-11-09,8790
2012-11-10,13503
2012-11-11,9921
2012-11-12,4473
2012-11-13,4832
2012-11-14,3785
2012-11-15,3723
2012-11-16,5815
2012-11-17,10735
2012-11-18,7377
2012-11-19,8591
2012-11-20,8379
2012-11-21,7616
2012-11-22,6295
2012-11-23,7832
2012-11-24,4048
2012-11-25,8092
2012-11-26,10041
2012-11-27,13622
2012-11-28,6654
2012-11-29,10474
2012-11-30,10738
2012-12-01,10164
2012-12-02,10105
2012-12-03,10793
2012-12-04,10116
2012-12-05,10147
2012-12-06,10216
2012-12-07,10909
2012-12-08,11286
2012-12-09,10559
2012-12-10,10272
2012-12-11,11270
2012-12-12,10147
2012-12-13,10013
2012-12-14,11029
2012-12-15,10012
2012-12-16,10280
2012-12-17,10415
2012-12-18,10283
2012-12-19,10524
2012-12-20,10895
2012-12-21,10877
2012-12-22,17273
2012-12-23,10065
2012-12-24,10248
2012-12-25,12066
2012-12-26,10671
2012-12-27,11021
2012-12-28,10505
2012-12-29,10506
2012-12-30,10224
2012-12-31,11912
2013-01-01,11022
2013-01-02,10883
2013-01-03,11633
2013-01-04,11079
2013-01-05,10845
2013-01-06,10302
2013-01-07,10886
2013-01-08,11757
2013-01-09,11069
2013-01-10,10965
2013-01-11,4883
2013-01-12,3626
2013-01-13,4009
2013-01-14,3403
2013-01-15,4825
2013-01-16,3120
2013-01-17,3138
2013-01-18,4920
2013-01-19,9471
2013-01-20,10549
2013-01-21,9383
2013-01-22,5472
2013-01-23,9187
2013-01-24,11602
2013-01-25,10873
2013-01-26,12095
2013-01-27,8648
2013-01-28,10605
2013-01-29,12679
2013-01-30,11511
2013-01-31,6142
2013-02-01,9604
2013-02-02,12260
2013-02-03,11612
2013-02-04,9207
2013-02-05,11253
2013-02-06,10795
2013-02-07,10166
2013-02-08,9913
2013-02-09,6314
2013-02-10,8551
2013-02-11,10655
2013-02-12,8758
2013-02-13,8631
2013-02-14,7439
2013-02-15,9720
2013-02-16,9953
2013-02-17,5048
2013-02-18,12195
2013-02-19,7164
2013-02-20,6640
2013-02-21,11779
2013-02-22,6358
2013-02-23,10575
2013-02-24,7921
2013-02-25,7320
2013-02-26,6640
2013-02-27,5176
2013-02-28,62
2013-03-01,7281
2013-03-02,8781
2013-03-03,10560
2013-03-04,8081
2013-03-05,9779
2013-03-06,6353
2013-03-07,8026
2013-03-08,7189
2013-03-09,5932
2013-03-10,5689
2013-03-11,7666
2013-03-12,8282
2013-03-13,10270
2013-03-14,5861
2013-03-15,8242
2013-03-16,7570
2013-03-17,3777
2013-03-18,4536
2013-03-19,629
2013-03-20,7808
2013-03-21,5258
2013-03-22,7109
2013-03-23,7812
2013-03-24,12159
2013-03-25,7508
2013-03-26,7891
2013-03-27,5703
2013-03-28,6008
2013-03-29,7167
2013-03-30,9207
2013-03-31,6919
2013-04-01,8306
2013-04-02,6869
2013-04-03,6184
2013-04-04,6260
2013-04-05,6287
2013-04-06,7268
2013-04-07,5448
2013-04-08,7090
2013-04-09,5340
2013-04-10,5464
2013-04-11,7583
2013-04-12,9873
2013-04-13,9326
2013-04-14,9201
2013-04-15,6580
2013-04-16,7774
2013-04-17,6817
2013-04-18,8538
2013-04-19,11801
2013-04-20,10869
2013-04-21,6826
2013-04-22,6314
2013-04-23,5353
2013-04-24,5981
2013-04-25,6388
2013-04-26,6187
2013-04-27,7838
2013-04-28,5738
2013-04-29,5986
2013-04-30,7396
2013-05-01,6795
2013-05-02,7468
2013-05-03,7383
2013-05-04,6537
2013-05-05,7821
2013-05-06,7229
2013-05-07,9494
2013-05-08,7595
2013-05-09,7290
2013-05-10,4505
2013-05-11,5066
2013-05-12,6433
2013-05-13,6905
2013-05-14,7631
2013-05-15,7934
2013-05-16,7406
2013-05-17,6567
2013-05-18,6803
2013-05-19,8297
2013-05-20,12887
2013-05-21,9668
2013-05-22,15845
2013-05-23,14773
2013-05-24,11288
2013-05-25,12543
2013-05-26,9532
2013-05-27,10499
2013-05-28,6781
2013-05-29,8238
2013-05-30,4521
2013-05-31,7400
2013-06-01,7125
2013-06-02,7097
2013-06-03,7137
2013-06-04,879
2013-06-05,7018
2013-06-06,7266
2013-06-07,7168
2013-06-08,6823
2013-06-09,6915
2013-06-10,9048
2013-06-11,7439
2013-06-12,7536
2013-06-13,7227
2013-06-14,5580
2013-06-15,8255
2013-06-16,8191
2013-06-17,7797
2013-06-18,6159
2013-06-19,7584
2013-06-20,6542
2013-06-21,7873
2013-06-22,6498
2013-06-23,5158
2013-06-24,5750
2013-06-25,7560
2013-06-26,6635
2013-06-27,6315
2013-06-28,4688
2013-06-29,6712
2013-06-30,6647
2013-07-01,5454
2013-07-02,5528
2013-07-03,5414
2013-07-04,3713
2013-07-05,6886
2013-07-06,6306
2013-07-07,5679
2013-07-08,4725
2013-07-09,5886
2013-07-10,6790
2013-07-11,5762
2013-07-12,5934
2013-07-13,3582
2013-07-14,7591
2013-07-15,5090
2013-07-16,5122
2013-07-17,6421
2013-07-18,5068
2013-07-19,6081
2013-07-20,6166
2013-07-21,8022
2013-07-22,6357
2013-07-23,7654
2013-07-24,8375
2013-07-25,6894
2013-07-26,3809
2013-07-27,4152
2013-07-28,6320
2013-07-29,6809
2013-07-30,6344
2013-07-31,6563
2013-08-01,9191
2013-08-02,8403
2013-08-03,5646
