"day","value"
2012-07-12,188.715696272
2012-07-13,187.944078355
2012-07-14,187.503153831
2012-07-15,187.172460438
2012-07-16,186.511073652
2012-07-17,186.180380259
2012-07-18,186.180380259
2012-07-19,185.959917997
2012-07-20,186.841767045
2012-07-21,186.511073652
2012-07-22,186.29061139
2012-07-23,186.400842521
2012-07-24,185.849686866
2012-07-25,185.408762342
2012-07-26,184.08598877
2012-07-27,184.747375556
2012-07-28,184.08598877
2012-07-29,184.306451032
2012-07-30,183.975757639
2012-07-31,183.865526508
2012-08-01,183.865526508
2012-08-02,183.975757639
2012-08-03,183.424601984
2012-08-04,183.314370853
2012-08-05,183.865526508
2012-08-06,183.534833115
2012-08-07,181.550672757
2012-08-08,182.432521805
2012-08-09,182.322290674
2012-08-10,182.322290674
2012-08-11,181.991597281
2012-08-12,182.101828412
2012-08-13,182.542752936
2012-08-14,180.448361447
2012-08-15,181.88136615
2012-08-16,181.771135019
2012-08-17,181.88136615
2012-08-18,181.660903888
2012-08-19,180.77905484
2012-08-20,180.338130316
2012-08-21,181.109748233
2012-08-22,180.889285971
2012-08-23,181.330210495
2012-08-24,181.991597281
2012-08-25,181.330210495
2012-08-26,180.77905484
2012-08-27,180.889285971
2012-08-28,180.227899185
2012-08-29,180.227899185
2012-08-30,179.67674353
2012-08-31,179.456281268
2012-09-01,179.235819006
2012-09-02,179.346050137
2012-09-03,179.015356744
2012-09-04,179.346050137
2012-09-05,179.125587875
2012-09-06,179.346050137
2012-09-07,179.897205792
2012-09-08,179.456281268
2012-09-09,180.338130316
2012-09-10,179.786974661
2012-09-11,179.456281268
2012-09-12,179.566512399
2012-09-13,179.456281268
2012-09-14,179.897205792
2012-09-15,179.015356744
2012-09-16,179.015356744
2012-09-17,178.353969958
2012-09-18,176.920965255
2012-09-19,178.464201089
2012-09-20,177.582352041
2012-09-21,176.920965255
2012-09-22,176.3698096
2012-09-23,177.251658648
2012-09-24,176.3698096
2012-09-25,176.810734124
2012-09-26,177.141427517
2012-09-27,177.031196386
2012-09-28,177.141427517
2012-09-29,177.802814303
2012-09-30,177.47212091
2012-10-01,176.700502993
2012-10-02,177.47212091
2012-10-03,177.582352041
2012-10-04,177.361889779
2012-10-05,177.141427517
2012-10-06,176.810734124
2012-10-07,176.700502993
2012-10-08,177.69919703986
2012-10-17,175.708422814
2012-10-18,175.26749829
2012-10-19,177.031196386
2012-10-20,176.3698096
2012-10-21,175.26749829
2012-10-22,174.385649242
2012-10-23,174.385649242
2012-10-24,176.3698096
2012-10-25,175.157267159
2012-10-26,174.495880373
2012-10-27,174.054955849
2012-10-28,174.716342635
2012-10-29,174.826573766
2012-10-30,173.724262456
2012-10-31,174.495880373
2012-11-01,174.716342635
2012-11-02,174.385649242
2012-11-03,174.606111504
2012-11-04,174.385649242
2012-11-05,174.495880373
2012-11-06,174.275418111
2012-11-07,175.047036028
2012-11-08,175.047036028
2012-11-09,174.495880373
2012-11-10,173.944724718
2012-11-11,174.16518698
2012-11-12,173.944724718
2012-11-13,173.393569063
2012-11-14,173.614031325
2012-11-15,174.054955849
2012-11-16,174.606111504
2012-11-17,173.614031325
2012-11-18,174.16518698
2012-11-19,173.393569063
2012-11-20,172.842413408
2012-11-21,173.393569063
2012-11-22,173.283337932
2012-11-23,173.503800194
2012-11-24,172.511720015
2012-11-25,171.299177574
2012-11-26,172.291257753
2012-11-27,172.952644539
2012-11-28,172.511720015
2012-11-29,172.621951146
2012-11-30,172.511720015
2012-12-01,171.629870967
2012-12-02,172.181026622
2012-12-03,173.283337932
2012-12-04,171.96056436
2012-12-05,172.621951146
2012-12-06,171.850333229
2012-12-07,172.181026622
2012-12-08,172.291257753
2012-12-09,171.409408705
2012-12-10,171.409408705
2012-12-11,171.519639836
2012-12-12,170.527559657
2012-12-13,170.527559657
2012-12-14,170.307097395
2012-12-15,169.976404002
2012-12-16,169.976404002
2012-12-17,170.968484181
2012-12-18,170.417328526
2012-12-19,170.307097395
2012-12-20,170.637790788
2012-12-21,170.417328526
2012-12-22,170.086635133
2012-12-23,170.417328526
2012-12-24,170.417328526
2012-12-25,170.637790788
2012-12-26,169.75594174
2012-12-27,170.417328526
2012-12-28,170.637790788
2012-12-29,170.196866264
2012-12-30,169.866172871
2012-12-31,169.866172871
2013-01-01,169.866172871
2013-01-02,169.425248347
2013-01-03,169.204786085
2013-01-04,168.874092692
2013-01-05,169.535479478
2013-01-06,169.425248347
2013-01-07,169.75594174
2013-01-08,170.85825305
2013-01-09,170.527559657
2013-01-10,169.645710609
2013-01-11,170.196866264
2013-01-12,169.866172871
2013-01-13,168.102474775
2013-01-14,168.212705906
2013-01-15,168.874092692
2013-01-16,168.65363043
2013-01-17,168.543399299
2013-01-18,167.771781382
2013-01-19,167.661550251
2013-01-20,169.75594174
2013-01-21,169.645710609
2013-01-22,168.874092692
2013-01-23,167.882012513
2013-01-24,167.992243644
2013-01-25,167.441087989
2013-01-26,168.984323823
2013-01-27,168.984323823
2013-01-28,169.535479478
2013-01-29,168.65363043
2013-01-30,168.212705906
2013-01-31,167.882012513
2013-02-01,167.220625727
2013-02-02,167.882012513
2013-02-03,168.65363043
2013-02-04,169.315017216
2013-02-05,169.094554954
2013-02-06,168.763861561
2013-02-07,167.661550251
2013-02-08,167.661550251
2013-02-09,167.55131912
2013-02-10,167.882012513
2013-02-11,166.669470072
2013-02-12,166.779701203
2013-02-13,165.897852155
2013-02-14,165.567158762
2013-02-15,166.44900781
2013-02-16,165.3466965
2013-02-17,166.118314417
2013-02-18,166.889932334
2013-02-19,167.000163465
2013-02-21,165.677389893
2013-02-22,165.236465369
2013-02-23,165.456927631
2013-02-24,164.464847452
2013-02-25,166.559238941
2013-02-26,166.338776679
2013-02-27,165.567158762
2013-02-28,165.126234238
2013-03-01,165.677389893
2013-03-02,165.456927631
2013-03-03,165.236465369
2013-03-04,165.677389893
2013-03-05,166.669470072
2013-03-06,165.3466965
2013-03-07,166.338776679
2013-03-08,165.567158762
2013-03-09,165.787621024
2013-03-10,166.559238941
2013-03-11,165.236465369
2013-03-12,165.456927631
2013-03-13,165.567158762
2013-03-14,165.016003107
2013-03-15,164.795540845
2013-03-16,165.126234238
2013-03-17,164.575078583
2013-03-18,164.905771976
2013-03-19,164.905771976
2013-03-20,164.795540845
2013-03-21,164.795540845
2013-03-22,165.456927631
2013-03-23,165.456927631
2013-03-24,166.44900781
2013-03-25,165.567158762
2013-03-26,167.110394596
2013-03-27,166.559238941
2013-03-28,166.338776679
2013-03-29,164.023922928
2013-03-30,166.008083286
2013-03-31,165.677389893
2013-04-01,164.134154059
2013-04-02,164.905771976
2013-04-03,165.3466965
2013-04-04,165.3466965
2013-04-05,165.567158762
2013-04-06,165.126234238
2013-04-07,164.575078583
2013-04-08,165.236465369
2013-04-09,165.3466965
2013-04-10,166.228545548
2013-04-11,165.016003107
2013-04-12,165.016003107
2013-04-13,163.913691797
2013-04-14,164.905771976
2013-04-15,164.575078583
2013-04-16,164.464847452
2013-04-17,164.464847452
2013-04-18,163.693229535
2013-04-19,164.134154059
2013-04-20,162.811380487
2013-04-21,162.480687094
2013-04-22,162.921611618
2013-04-23,164.354616321
2013-04-24,162.260224832
2013-04-25,163.913691797
2013-04-26,164.354616321
2013-04-27,164.023922928
2013-04-28,164.134154059
2013-04-29,164.795540845
2013-04-30,164.905771976
2013-05-01,163.803460666
2013-05-02,163.362536142
2013-05-03,161.929531439
2013-05-04,162.921611618
2013-05-05,163.14207388
2013-05-06,164.134154059
2013-05-07,163.14207388
2013-05-08,163.031842749
2013-05-09,162.149993701
2013-05-10,161.488606915
2013-05-11,163.14207388
2013-05-12,163.472767273
2013-05-13,161.598838046
2013-05-14,161.819300308
2013-05-15,162.590918225
2013-05-16,161.268144653
2013-05-17,163.362536142
2013-05-18,162.811380487
2013-05-29,163.582998404
2013-05-30,165.456927631
2013-05-31,161.929531439
2013-06-01,162.03976257
2013-06-02,162.480687094
2013-06-03,161.598838046
2013-06-04,161.709069177
2013-06-05,162.260224832
2013-06-06,163.031842749
2013-06-07,163.803460666
2013-06-08,164.023922928
