,Date,Weight,Steps
0,2012-07-12,188.715696272,7076
1,2012-07-13,187.944078355,5924
2,2012-07-14,187.503153831,6410
3,2012-07-15,187.172460438,6109
4,2012-07-16,186.51107365200002,6403
5,2012-07-17,186.180380259,3052
6,2012-07-18,186.180380259,5842
7,2012-07-19,185.95991799700002,6462
8,2012-07-20,186.841767045,4698
9,2012-07-21,186.51107365200002,7464
10,2012-07-22,186.29061139,6516
11,2012-07-23,186.400842521,4014
12,2012-07-24,185.84968686599998,6661
13,2012-07-25,185.40876234200002,6684
14,2012-07-26,184.08598877,6799
15,2012-07-27,184.74737555599998,9456
16,2012-07-28,184.08598877,6075
17,2012-07-29,184.306451032,8429
18,2012-07-30,183.97575763900002,6385
19,2012-07-31,183.865526508,5256
20,2012-08-01,183.865526508,6078
21,2012-08-02,183.97575763900002,5296
22,2012-08-03,183.42460198400002,4788
23,2012-08-04,183.31437085299999,10555
24,2012-08-05,183.865526508,6687
25,2012-08-06,183.534833115,5698
26,2012-08-07,181.550672757,11107
27,2012-08-08,182.432521805,6799
28,2012-08-09,182.32229067400002,5351
29,2012-08-10,182.32229067400002,5215
30,2012-08-11,181.991597281,7307
31,2012-08-12,182.101828412,6036
32,2012-08-13,182.54275293599997,5903
33,2012-08-14,180.448361447,6256
34,2012-08-15,181.88136615,6951
35,2012-08-16,181.771135019,7090
36,2012-08-17,181.88136615,6493
37,2012-08-18,181.66090388799998,6148
38,2012-08-19,180.77905484,8363
39,2012-08-20,180.338130316,6252
40,2012-08-21,181.109748233,6930
41,2012-08-22,180.889285971,5778
42,2012-08-23,181.330210495,5630
43,2012-08-24,181.991597281,5420
44,2012-08-25,181.330210495,6215
45,2012-08-26,180.77905484,8040
46,2012-08-27,180.889285971,6639
47,2012-08-28,180.227899185,7281
48,2012-08-29,180.227899185,6173
49,2012-08-30,179.67674353,6685
50,2012-08-31,179.456281268,5761
51,2012-09-01,179.23581900599999,5616
52,2012-09-02,179.34605013700002,5616
53,2012-09-03,179.015356744,6025
54,2012-09-04,179.34605013700002,5730
55,2012-09-05,179.125587875,5541
56,2012-09-06,179.34605013700002,6021
57,2012-09-07,179.897205792,4987
58,2012-09-08,179.456281268,7155
59,2012-09-09,180.338130316,7280
60,2012-09-10,179.786974661,6097
61,2012-09-11,179.456281268,4908
62,2012-09-12,179.566512399,4188
63,2012-09-13,179.456281268,6573
64,2012-09-14,179.897205792,5873
65,2012-09-15,179.015356744,7031
66,2012-09-16,179.015356744,7344
67,2012-09-17,178.353969958,6621
68,2012-09-18,176.920965255,7004
69,2012-09-19,178.46420108900003,6701
70,2012-09-20,177.58235204099998,2661
71,2012-09-21,176.920965255,5388
72,2012-09-22,176.3698096,6582
73,2012-09-23,177.251658648,8197
74,2012-09-24,176.3698096,5726
75,2012-09-25,176.81073412400002,7445
76,2012-09-26,177.141427517,6139
77,2012-09-27,177.03119638599998,6978
78,2012-09-28,177.141427517,6974
79,2012-09-29,177.802814303,6262
80,2012-09-30,177.47212091,7971
81,2012-10-01,176.700502993,6782
82,2012-10-02,177.47212091,6721
83,2012-10-03,177.58235204099998,13011
84,2012-10-04,177.36188977900002,6642
85,2012-10-05,177.141427517,9486
86,2012-10-06,176.81073412400002,7876
87,2012-10-07,176.700502993,17474
88,2012-10-08,177.69919703986,20463
89,2012-10-17,175.70842281400002,17361
90,2012-10-18,175.26749829,15405
91,2012-10-19,177.03119638599998,14503
92,2012-10-20,176.3698096,5235
93,2012-10-21,175.26749829,7050
94,2012-10-22,174.385649242,7734
95,2012-10-23,174.385649242,7825
96,2012-10-24,176.3698096,5261
97,2012-10-25,175.157267159,9257
98,2012-10-26,174.495880373,9932
99,2012-10-27,174.054955849,6482
100,2012-10-28,174.716342635,8054
101,2012-10-29,174.826573766,7430
102,2012-10-30,173.724262456,5980
103,2012-10-31,174.495880373,5600
104,2012-11-01,174.716342635,6587
105,2012-11-02,174.385649242,4869
106,2012-11-03,174.606111504,10113
107,2012-11-04,174.385649242,8147
108,2012-11-05,174.495880373,6836
109,2012-11-06,174.275418111,9684
110,2012-11-07,175.04703602799998,10082
111,2012-11-08,175.04703602799998,8244
112,2012-11-09,174.495880373,8790
113,2012-11-10,173.944724718,13503
114,2012-11-11,174.16518698,9921
115,2012-11-12,173.944724718,4473
116,2012-11-13,173.393569063,4832
117,2012-11-14,173.614031325,3785
118,2012-11-15,174.054955849,3723
119,2012-11-16,174.606111504,5815
120,2012-11-17,173.614031325,10735
121,2012-11-18,174.16518698,7377
122,2012-11-19,173.393569063,8591
123,2012-11-20,172.842413408,8379
124,2012-11-21,173.393569063,7616
125,2012-11-22,173.283337932,6295
126,2012-11-23,173.503800194,7832
127,2012-11-24,172.511720015,4048
